병원명,소재지,평가등급,종별,lat,lon
21세기본튼튼의원,"강원특별자치도 원주시 현충로 11, 2층 201, 202호 (태장동)",⭐ 1등급 우수병원,의원,37.3568685958634,127.955066855488
21세기소아청소년과의원,"강원특별자치도 원주시 봉화로 27, (단계동)",⭐ 1등급 우수병원,의원,37.3469533585729,127.928260594851
28지킴이치과의원,"강원특별자치도 원주시 봉화로 16, (단계동)",일반병원,치과의원,37.345982766221,127.928816302539
Dr. 구의원,"강원특별자치도 원주시 서원대로 392, 3층 (단구동, 스타프라자)",일반병원,의원,37.3310190155411,127.948401297225
e-플란트미래치과의원,"강원특별자치도 원주시 서원대로 383, 4층 (개운동, 한신플라자)",일반병원,치과의원,37.3319941887022,127.948567122909
강남영내과의원,"강원특별자치도 원주시 행구로 39, 2층 (개운동)",⭐ 1등급 우수병원,의원,37.3415595276608,127.960172926457
강남제이스타의원,"강원특별자치도 원주시 능라동길 51, 시네시티타워 501, 502호 (무실동)",⭐ 1등급 우수병원,의원,37.3348395414332,127.930150473737
강남한방병원,"강원특별자치도 원주시 양지로 80-0,  6층 (반곡동)",일반병원,한방병원,37.327963454832,127.986200878625
강남한의원,"강원특별자치도 원주시 남원로 441-2, 1층 (명륜동)",일반병원,한의원,37.325609231784,127.940761363277
강남후생치과의원,"강원특별자치도 원주시 북원로 2706, 2층 (태장동)",일반병원,치과의원,37.3850827811024,127.947916389722
강봉선신경정신과의원,"강원특별자치도 원주시 서원대로 383, 3층 401호 (개운동, 한신프라자)",일반병원,의원,37.3319941887022,127.948567122909
강원의료복지사회적협동조합밝음의원,"강원특별자치도 원주시 중앙로 85, 4층 (중앙동)",⭐ 1등급 우수병원,의원,37.3486322038547,127.951302972282
강원특별자치도원주의료원,"강원특별자치도 원주시 서원대로 387,  (개운동)",⭐ 1등급 우수병원,종합병원,37.332804805044,127.949040501087
강윤철피부과의원,"강원특별자치도 원주시 원일로 120, 7층 (중앙동)",일반병원,의원,37.3503178255469,127.948470788427
강훈소아청소년과의원,"강원특별자치도 원주시 입춘로 110, (반곡동, 파라다이스프라자 301,302호)",⭐ 1등급 우수병원,의원,37.3233830428989,127.981662850501
거북이한의원,"강원특별자치도 원주시 소초면 장막1길 15, (소초면)",일반병원,한의원,37.407984938957,127.955905729531
건강한치과의원,"강원특별자치도 원주시 건강로 21, 2층 (반곡동, 조은빌딩)",일반병원,치과의원,37.3255709856775,127.987783995302
경희 해맑은한의원,"강원특별자치도 원주시 시청로 98, 2층 (무실동)",일반병원,한의원,37.3359528201159,127.928750890632
경희나무한의원,"강원특별자치도 원주시 백간길 25, 2층 (단계동)",일반병원,한의원,37.3520835008391,127.926301363813
경희다인한의원,"강원특별자치도 원주시 지정면 신지정로 322, 301,302호",일반병원,한의원,37.3422,127.9201
경희미려한의원,"강원특별자치도 원주시 서원대로 406, 4층 (단구동, 리더스타워)",일반병원,한의원,37.3301957031794,127.94969041566
경희한의원,"강원특별자치도 원주시 향교길 56, (명륜동)",일반병원,한의원,37.3392626626907,127.951233861113
경희해문한의원,"강원특별자치도 원주시 능라동길 70, 409호 (무실동)",일반병원,한의원,37.3337998324689,127.930202082473
경희후한의원,"강원특별자치도 원주시 능라동길 31, 2~3층 (무실동)",일반병원,한의원,37.3422,127.9201
계수나무한의원,"강원특별자치도 원주시 치악로 1482, (단구동)",일반병원,한의원,37.3174965164851,127.969020577765
고려가정의원,"강원특별자치도 원주시 예술관길 25, (명륜동, 명륜2차아파트)",⭐ 1등급 우수병원,의원,37.3326518751814,127.942122744765
고려외과의원,"강원특별자치도 원주시 원문로 107-8, (단계동)",⭐ 1등급 우수병원,의원,37.3560053782681,127.935241400959
고려제일의원,"강원특별자치도 원주시 부론면 법천시장길 52, 2층",⭐ 1등급 우수병원,의원,37.2080329444049,127.749465304172
고려한의원,"강원특별자치도 원주시 남원로 656, (명륜동)",일반병원,한의원,37.3411170151608,127.95394040889
고산보건진료소,"강원특별자치도 원주시 호저면 광학로 16, 16",일반병원,보건진료소,37.3422,127.9201
고석만정신건강의학과의원,"강원특별자치도 원주시 능라동길 59, (무실동, 정한프라자 509호)",일반병원,의원,37.3344235275605,127.930817739225
고승연신경외과의원,"강원특별자치도 원주시 남원로 548, (개운동)",⭐ 1등급 우수병원,의원,37.3330649319424,127.947690659161
고운치과교정과치과의원,"강원특별자치도 원주시 서원대로 408, 501,502호 (단구동, 광장빌딩)",일반병원,치과의원,37.3422,127.9201
고은미래의원,"강원특별자치도 원주시 시청로 98, 3층 (무실동)",⭐ 1등급 우수병원,의원,37.3359528201159,127.928750890632
고은아이치과의원,"강원특별자치도 원주시 서원대로 408, 203호 (단구동, 광장빌딩)",일반병원,치과의원,37.3299803953294,127.950079338744
고은의원,"강원특별자치도 원주시 봉화로 29, (단계동)",⭐ 1등급 우수병원,의원,37.3471339761061,127.928310669506
곽엄섭내과의원,"강원특별자치도 원주시 현충로 320-1, 1,2층 (태장동)",⭐ 1등급 우수병원,의원,37.3817266770432,127.947613097979
광동한의원,"강원특별자치도 원주시 치악로 1793, (개운동)",일반병원,한의원,37.3422200889387,127.955059148758
광인당한의원,"강원특별자치도 원주시 남원로 623, 2층 (명륜동)",일반병원,한의원,37.3389476588984,127.95160543136
굿모닝치과의원,"강원특별자치도 원주시 입춘로 110, 3층 307호 (반곡동)",일반병원,치과의원,37.3233830428989,127.981662850501
권한의원,"강원특별자치도 원주시 치악로 1521, 2층 (관설동, 고려빌딩)",일반병원,한의원,37.3199864680915,127.965356275225
권혁준내과의원,"강원특별자치도 원주시 서원대로 156, (단계동)",⭐ 1등급 우수병원,의원,37.3440991612116,127.928916785448
귀래면보건지소,"강원특별자치도 원주시 귀래면 북원로 106, (귀래면)",일반병원,보건지소,37.1699172707465,127.885057708668
그랜드치과병원,"강원특별자치도 원주시 서원대로 188, (단계동)",일반병원,치과병원,37.3437402541479,127.932163259963
기린소아청소년과의원,"강원특별자치도 원주시 지정면 신지정로 266, 204호",⭐ 1등급 우수병원,의원,37.3785374579876,127.870584943717
기린한의원,"강원특별자치도 원주시 장미공원길 67-16, 단계메디컬센터 4층 (단계동)",일반병원,한의원,37.345882330517,127.93118534022
기운내한의원,"강원특별자치도 원주시 남원로534번길 54, 202호 (단구동)",일반병원,한의원,37.3282831008185,127.95191668683
김남두비뇨기과의원,"강원특별자치도 원주시 원일로 114, (중앙동)",일반병원,의원,37.3499877878517,127.94871831418
김대균의원,"강원특별자치도 원주시 단구로 404, 2층 (단구동)",⭐ 1등급 우수병원,의원,37.320894593004,127.955007617271
김동우외과의원,"강원특별자치도 원주시 문막읍 왕건로 81, (동화빌딩)",⭐ 1등급 우수병원,의원,37.3267305773774,127.829096395235
김영석이비인후과의원,"강원특별자치도 원주시 서원대로 410, 2층 (단구동)",⭐ 1등급 우수병원,의원,37.3297899345877,127.950403356989
김이비인후과의원,"강원특별자치도 원주시 원일로 127, (일산동)",⭐ 1등급 우수병원,의원,37.3505918632442,127.947824495382
김정권내과의원,"강원특별자치도 원주시 중평길 12, 2층 (중앙동, 동남타워)",⭐ 1등급 우수병원,의원,37.3493527126135,127.950442145737
김진수프롤로의원,"강원특별자치도 원주시 북원로 2247, 덕안빌딩  3층 (단계동)",⭐ 1등급 우수병원,의원,37.3464337313806,127.933358738809
김창동이비인후과의원,"강원특별자치도 원주시 천사로 216, (중앙동)",⭐ 1등급 우수병원,의원,37.3513713460178,127.947933050291
김희성한의원,"강원특별자치도 원주시 능라동길 3, 304호 (무실동)",일반병원,한의원,37.3315842149544,127.926178565285
꿈에의원,"강원특별자치도 원주시 단구로 398, 청솔3차아파트 상가동 1층 103호 (단구동)",⭐ 1등급 우수병원,의원,37.321447947226,127.955302755257
나다운 정신건강의학과의원,"강원특별자치도 원주시 평원로 62, (평원동)",일반병원,의원,37.3512146167112,127.950902282614
남부밝은안과의원,"강원특별자치도 원주시 남원로 667-1, (명륜동)",일반병원,의원,37.3422404919271,127.954216767809
남부한의원,"강원특별자치도 원주시 남원로 667-1, 1층 (명륜동)",일반병원,한의원,37.3422404919271,127.954216767809
남송한의원,"강원특별자치도 원주시 판부면 남원로 401, 2층",일반병원,한의원,37.3218781263121,127.939453768001
내몸사랑한의원,"강원특별자치도 원주시 로아노크로 74, 세이브타워 401호 (무실동)",일반병원,한의원,37.3389516353759,127.923454144867
내안에병원,"강원특별자치도 원주시 남원로 562-5, (개운동)",일반병원,정신병원,37.333948364091,127.94864585762
누가이비인후과의원,"강원특별자치도 원주시 서원대로 396, 310호 (단구동, 스타월드프라자)",⭐ 1등급 우수병원,의원,37.3307257685245,127.948903433255
뉴코웰이비인후과의원,"강원특별자치도 원주시 단구로 351, 3층 (단구동)",⭐ 1등급 우수병원,의원,37.324572654885,127.958572857839
늘푸른의원,"강원특별자치도 원주시 치악로 1648, 2층 (단구동)",⭐ 1등급 우수병원,의원,37.3300810985598,127.959372290904
늘푸른치과의원,"강원특별자치도 원주시 흥양로51번길 1, 2층 (태장동, 원마트)",일반병원,치과의원,37.3839877080173,127.952570458631
다다함한방내과한의원,"강원특별자치도 원주시 시청로 36, 1층 (무실동)",일반병원,한의원,37.3392010640529,127.923634702847
다담웃음치과의원,"강원특별자치도 원주시 지정면 신지정로 316-1, 304,305호",일반병원,치과의원,37.3422,127.9201
다람쥐키즈치과의원,"강원특별자치도 원주시 지정면 신지정로 322, 501~504호",일반병원,치과의원,37.3422,127.9201
다온재활의학과의원,"강원특별자치도 원주시 능라동길 61, 3,5층 308,309,,506,507,508호 (무실동)",⭐ 1등급 우수병원,의원,37.3422,127.9201
다정한의원,"강원특별자치도 원주시 중앙로 40, (중앙동)",일반병원,한의원,37.3471399039768,127.953348501324
닥터리치과의원,"강원특별자치도 원주시 행구로 148, 3층 (행구동)",일반병원,치과의원,37.3417148743283,127.972513317756
닥터스킨피부과의원,"강원특별자치도 원주시 서원대로 406, 3층 (단구동, 리더스타워)",⭐ 1등급 우수병원,의원,37.3301957031794,127.94969041566
닥터유부부치과의원,"강원특별자치도 원주시 오리현길 57, 5층 (반곡동)",일반병원,치과의원,37.338671270418,127.972233149961
닥터후치과의원,"강원특별자치도 원주시 시청로 98, 3층 (무실동, 새봄빌딩)",일반병원,치과의원,37.3359528201159,127.928750890632
단강보건진료소,"강원특별자치도 원주시 부론면 부귀로 753, (부론면)",일반병원,보건진료소,37.1533121951426,127.78655694372
단계뿌리깊은치과의원,"강원특별자치도 원주시 서원대로 165, (단계동)",일반병원,치과의원,37.3444745902274,127.929939561257
단구햇살의원,"강원특별자치도 원주시 치악로 1626, 3층 (단구동)",일반병원,의원,37.3280064376342,127.960485463395
당유위한의원,"강원특별자치도 원주시 서원대로 392, 4층 (단구동, 스타프라자)",일반병원,한의원,37.3310190155411,127.948401297225
당청운한의원,"강원특별자치도 원주시 시청로 3, 207-208호 (무실동)",일반병원,한의원,37.3422,127.9201
대세한의원,"강원특별자치도 원주시 지정면 신지정로 322, 209호",일반병원,한의원,37.3824972408881,127.872383190291
대흥한의원,"강원특별자치도 원주시 원문로 186, (단계동)",일반병원,한의원,37.3564611369436,127.929258290394
